证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430746.OC,2011,2014-05-05,申万宏源证券有限公司,非高新产业区,房屋建筑业,,2014,5,七星科技,237551532.19,76247136.17,382450743.04,346747284.82,,7340451.49,1793568.17,8861264.45,-96624.23,8957888.68,-45922949.62,106151038.39,4011037.76,3.7302,,,,,,,,挂牌前,-3
430747.OC,2011,2014-05-05,申万宏源证券有限公司,非高新产业区,专用设备制造业,,2014,5,长江机电,22028285.83,8650062.32,21398842.25,16683272.94,992655.54,1295692.44,11321.7,1778941.27,-4025.81,1782967.08,-952912.46,10011331.8,5265890.23,8.0757,143013.26,,-556501.48,-3354197.22,1110402.63,,,挂牌前,-3
430749.OC,2011,2014-05-06,万联证券有限责任公司,衡阳高新区,金属制品业,,2014,5,金化高容,49352218.77,19042450.81,38642978.98,32737979.56,2872400.79,2774365.71,1555211.25,-1720527.94,-3000,-1717500,-11227073.44,3872502.01,10427517.49,-3.4862,1141192.97,362786.26,-8627451.78,-819358.05,-3539170.31,,,挂牌前,-3
430750.OC,2011,2014-05-29,中国银河证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2014,5,欣易晨,6259495.38,3532321.35,11561932.13,9773316.2,861126.44,1071218.59,-107586.93,-279.79,0,-279.79,-5918848.33,645973.15,272076.45,-0.0045,135993.99,,-899246.58,383878.28,-5473372.85,,,挂牌前,-3
430751.OC,2011,2014-05-30,国信证券股份有限公司,南京高新区,计算机、通信和其他电子设备制造业,,2014,5,赛格微,69199865.17,16910967.91,61374523.77,42721643.87,1929248.79,12717326.68,471720.45,3233200.83,1271.98,3231928.85,3024978.08,38171891.72,12085500.3,4.6723,2324562.98,8600,-6096250.93,-6491236.4,9787383.53,,,挂牌前,-3
430752.OC,2011,2014-05-30,长江证券股份有限公司,武汉东湖高新区,电气机械和器材制造业,,2014,5,索泰能源,3897700.92,102022.41,5531654.71,4765033.25,352666.32,1356654.04,8143.22,-800926.27,310000,-1110926.27,713636.13,426709.49,372165.92,-20.5487,30463.1,,-259076.07,-1680970.16,3417583.01,,,挂牌前,-3
430754.OC,2011,2014-05-30,西部证券股份有限公司,中关村科技园区,电信、广播电视和卫星传输服务,,2014,5,波智高远,10297402.01,9495127.39,4089948.98,1673117.66,97584.32,1638275.07,-4134.36,556068.14,0,556068.14,-761370.41,1379690.63,73774.88,5.4001,31535.52,,-845336.17,-1224403.08,-205753.64,,,挂牌前,-3
430755.OC,2011,2014-05-30,国泰君安证券股份有限公司,深圳高新区,计算机、通信和其他电子设备制造业,,2014,5,华曦达,44811012.25,25783224.32,32786402.77,24562663.71,2551478.96,7862306.65,-186000.42,-49032.29,1787422.92,-1836455.21,-923636.28,15572519.62,2372084.64,-0.1094,488653.52,19239.73,-4487921.32,-13824536.36,16809344.97,,,挂牌前,-3
430756.OC,2011,2014-05-30,华泰证券股份有限公司,中关村科技园区,专业技术服务业,,2014,5,科电瑞通,9871791.06,4895722.19,9504487.36,8260804.18,754017.9,334928.25,1234.52,-100462.13,0,-100462.13,2102379.97,3495307.8,141879.68,-1.0177,50346.36,,26800,-1067600.46,3066532.56,,,挂牌前,-3
430757.OC,2011,2014-05-30,中信建投证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2014,5,天翔昌运,7318009.17,5030759.77,23867006.73,21151953.33,325112.24,1977573.63,27367.55,12762.34,-40.09,12802.43,-3105358.02,2431475.96,48672.34,0.1744,9647.86,,-2061149.34,-181535.26,-793691.18,,,挂牌前,-3
